#! FIELDS p.x file.free der_p.x
#! SET min_p.x -2.0
#! SET max_p.x 2.0
#! SET nbins_p.x  201
#! SET periodic_p.x false
   -2.000000000 -101.368923127 -140.237144010
   -1.980000000 -104.057384099 -127.509367887
   -1.960000000 -106.452437501 -111.137504458
   -0.760000000 -124.762326928   12.630965941
   -0.740000000 -124.602762190    2.810701283
   -0.720000000 -124.634423743   -5.785796028
   -0.700000000 -124.793931673  -11.446722262
   -0.680000000 -125.040916155  -13.513940421
   -0.660000000 -125.289861365  -11.948214597
   -0.640000000 -125.472866602   -7.165882442
   -0.620000000 -125.536190145    0.511924811
   -0.600000000 -125.427887553    9.436178076
   -0.580000000 -125.141383412   18.445912399
   -0.560000000 -124.683508133   25.835257393
   -0.540000000 -124.104546468   31.206936253
   -0.520000000 -123.440327033   33.136101291
   -0.500000000 -122.771365698   32.462666496
   -0.480000000 -122.145335195   29.600108565
   -0.460000000 -121.585615393   25.132506588
   -0.440000000 -121.124054574   19.867501332
   -0.420000000 -120.767563301   15.159799134
   -0.400000000 -120.509482624   10.474648422
   -0.380000000 -120.329055391    6.711945312
   -0.360000000 -120.217519630    3.818984482
   -0.340000000 -120.149871841    2.022118131
   -0.320000000 -120.117348952    1.452451316
   -0.300000000 -120.070304456    2.062818272
   -0.280000000 -120.006581544    4.037247367
   -0.260000000 -119.891390834    6.633664013
   -0.240000000 -119.726147184    9.441398008
   -0.220000000 -119.499918256   11.410375692
   -0.200000000 -119.243075365   12.515375240
   -0.180000000 -118.990410294   11.577253005
   -0.160000000 -118.781462068    9.035668227
   -0.140000000 -118.636140968    4.972819847
   -0.120000000 -118.571995948    0.186589820
   -0.100000000 -118.598064464   -4.173730858
   -0.080000000 -118.712157787   -7.058836999
   -0.060000000 -118.866694715   -8.492392574
   -0.040000000 -119.025067814   -7.889080093
   -0.020000000 -119.155717338   -5.550559281
    0.000000000 -119.223369314   -2.057698859
    0.020000000 -119.205733034    1.952274466
    0.040000000 -119.126437870    6.482077797
    0.060000000 -118.962227638    9.589800038
    0.080000000 -118.748195865   11.135710160
    0.100000000 -118.514601951   10.523274051
    0.120000000 -118.316993116    7.630216537
    0.140000000 -118.200380605    2.550018818
    0.160000000 -118.205369047   -4.092938755
    0.180000000 -118.355589788  -11.751141300
    0.200000000 -118.663988760  -19.016996008
    0.220000000 -119.102272224  -25.283607832
    0.240000000 -119.650941319  -29.740836297
    0.260000000 -120.268154734  -31.839389805
    0.280000000 -120.892637223  -30.921335619
    0.300000000 -121.466876760  -27.291926903
    0.320000000 -121.955045548  -21.118093055
    0.340000000 -122.288404587  -13.714623014
    0.360000000 -122.476628305   -5.330400569
    0.380000000 -122.490905357    2.568538524
    0.400000000 -122.376217791    8.693008286
    0.420000000 -122.147832151   11.994273587
    0.440000000 -121.897751701   12.213363682
    0.460000000 -121.675321038    8.627771354
    0.480000000 -121.556393666    1.880448874
    0.500000000 -121.593846097   -6.747214771
    0.520000000 -121.811220390  -15.443955002
    0.540000000 -122.195433954  -22.546402912
    0.560000000 -122.695219092  -27.734700803
    0.580000000 -123.266841521  -29.523193285
    0.600000000 -123.831524850  -27.476636553
    0.620000000 -124.333728358  -22.626961321
    0.640000000 -124.722056819  -16.452099018
    0.660000000 -124.984965094  -10.437977044
    0.680000000 -125.126214944   -5.302963721
    0.700000000 -125.186515045   -1.683935028
    0.720000000 -125.201247263   -0.701420466
    0.740000000 -125.223011927   -2.147898202
    0.760000000 -125.291458575   -5.652072221
    0.780000000 -125.438820024  -10.836731869
    0.800000000 -125.706832447  -16.795976657
    0.820000000 -126.101518847  -22.902297573
    0.840000000 -126.614806797  -28.371944149
    0.860000000 -127.220362189  -32.743353854
    0.880000000 -127.900956379  -35.648316409
    0.900000000 -128.619270750  -36.683817489
    0.920000000 -129.336485806  -36.094935238
    0.940000000 -130.031211066  -33.881147967
    0.960000000 -130.686699012  -31.199247395
    0.980000000 -131.277169008  -28.686068802
    1.000000000 -131.816241641  -27.007150596
    1.020000000 -132.339875827  -26.133706316
    1.040000000 -132.861175613  -26.505483069
    1.060000000 -133.393412779  -27.739677617
    1.080000000 -133.950737843  -28.327513371
    1.100000000 -134.507551246  -28.172502905
    1.120000000 -135.047208423  -25.986658513
